OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2953,2015/02/07 16:00:00+00,IR,Irajá,O3,Boa,32
2954,2015/02/07 16:00:00+00,BG,Bangu,O3,Boa,43
2955,2015/02/07 16:00:00+00,CG,Campo Grande,NO2,Boa,29
2956,2015/02/07 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,36
2957,2015/02/07 16:00:00+00,CA,Centro,O3,Boa,28
2958,2015/02/07 16:00:00+00,AV,Copacabana,PI,Boa,35
2959,2015/02/07 16:00:00+00,SC,São Cristóvão,O3,Boa,32
2960,2015/02/07 16:00:00+00,SP,Tijuca,O3,Boa,38
2961,2015/02/08 16:00:00+00,CA,Centro,O3,Boa,41
2962,2015/02/08 16:00:00+00,AV,Copacabana,O3,Boa,39
2963,2015/02/08 16:00:00+00,SC,São Cristóvão,O3,Boa,47
2964,2015/02/08 16:00:00+00,SP,Tijuca,O3,Regular,52
2965,2015/02/08 16:00:00+00,IR,Irajá,O3,Regular,56
2966,2015/02/08 16:00:00+00,BG,Bangu,O3,Regular,66
2967,2015/02/08 16:00:00+00,CG,Campo Grande,O3,Boa,43
2968,2015/02/08 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,66
2969,2015/02/09 16:00:00+00,CA,Centro,O3,Boa,29
2970,2015/02/09 16:00:00+00,AV,Copacabana,PI,Boa,32
2971,2015/02/09 16:00:00+00,SC,São Cristóvão,O3,Boa,33
2972,2015/02/09 16:00:00+00,SP,Tijuca,O3,Boa,40
2973,2015/02/09 16:00:00+00,IR,Irajá,O3,Boa,43
2974,2015/02/09 16:00:00+00,BG,Bangu,O3,Boa,42
2975,2015/02/09 16:00:00+00,CG,Campo Grande,NO2,Boa,37
2976,2015/02/09 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,58
2977,2015/02/10 16:00:00+00,CA,Centro,O3,Boa,41
2978,2015/02/10 16:00:00+00,AV,Copacabana,PI,Boa,39
2979,2015/02/10 16:00:00+00,SC,São Cristóvão,O3,Boa,48
2980,2015/02/10 16:00:00+00,SP,Tijuca,O3,Boa,46
2981,2015/02/10 16:00:00+00,IR,Irajá,NO2,Boa,40
2982,2015/02/10 16:00:00+00,BG,Bangu,O3,Regular,58
2983,2015/02/10 16:00:00+00,CG,Campo Grande,NO2,Boa,42
2984,2015/02/10 16:00:00+00,PG,Pedra de Guaratiba,O3,Boa,47
2985,2015/02/11 16:00:00+00,CA,Centro,O3,Boa,41
2986,2015/02/11 16:00:00+00,AV,Copacabana,PI,Regular,55
2987,2015/02/11 16:00:00+00,SC,São Cristóvão,O3,Regular,53
2988,2015/02/11 16:00:00+00,SP,Tijuca,O3,Regular,59
2989,2015/02/11 16:00:00+00,IR,Irajá,O3,Regular,58
2990,2015/02/11 16:00:00+00,BG,Bangu,PI,Regular,60
2991,2015/02/11 16:00:00+00,CG,Campo Grande,NO2,Boa,46
